Player,Pos,Squad,Comp,Age,MP,pca_pass_x,pca_pass_y,pass cluster,pca_chances_x,pca_chances_y,chances cluster,pca_misc_x,pca_misc_y,misc cluster
Martin Hinteregger,DF,Eint Frankfurt,de Bundesliga,27,29,36.219824670185695,-8.159662376811411,3,0.5701556771273809,-0.7060435440725285,0,77.48777895097108,3.363271250265101,2
Martin Kelly,DF,Crystal Palace,eng Premier League,30,1,-90.76094666285351,27.2530474774283,1,-24.458059505387574,-1.5053252772151255,1,-209.3769856941539,37.559343597092244,0
Martín Merquelanz,"FW,MF",Real Sociedad,es La Liga,25,13,-7.31617395595493,6.606643907167053,2,12.022700068767834,1.449664435172277,0,19.288983665970278,16.471709781109027,2
Martín Montoya,DF,Betis,es La Liga,29,5,21.39491628794646,-7.827780416840937,2,-24.415337586711946,0.46458928863448984,1,-39.58045140706889,-1.3465814090153165,0
Martin Ødegaard,"MF,FW",Real Madrid,es La Liga,21,7,46.80919290290151,12.404239787413722,3,-24.40097008520085,1.037813880410204,1,129.41745297424714,-40.445251226379426,1
Martin Ødegaard,MF,Arsenal,eng Premier League,21,14,23.747282108922185,7.841391748040918,2,-4.358349364001224,2.7598001607352813,0,76.91798352094578,-10.46724673286607,2
Martin Palumbo,MF,Udinese,it Serie A,18,3,-57.06857004254998,8.250812884460535,1,-24.434973989538065,-0.20392902015587272,1,-185.53726079661703,40.875937511266294,0
Martin Terrier,"FW,MF",Rennes,fr Ligue 1,23,34,-19.38337606460817,15.525092943878352,1,12.620823444306616,1.1470537745085674,0,-55.03271508783573,-7.120139229174372,0
Martín Zubimendi,MF,Real Sociedad,es La Liga,21,31,20.428199319149584,-11.642300661439656,2,-10.13755414613642,-0.5951900978076401,1,68.50889718849909,-13.97922011994185,2
Martinelli,FW,Arsenal,eng Premier League,19,14,-28.215364606995422,17.789677471068437,1,15.655451721567115,1.9134185562154669,0,-21.368283897612415,-1.411400795685373,2
Márton Dárdai,DF,Hertha BSC,de Bundesliga,18,12,20.26620505141634,-11.107671115879336,2,-24.435585156498206,-0.3953446873513014,1,147.18144113276256,63.61304612699567,1
